2023-09-28 20:55,pk,cauat1,MEAD-44513
2023-09-28 20:56,pt,cauat1,MEAD-44515
2023-09-28 22:29,pk,caqa10,MEAD-44527
2023-09-28 22:48,pk,cauat6,MEAD-44532
2023-09-28 22:48,pt,cauat6,MEAD-44533
2023-09-29 01:19,pt,cauat2,MEAD-44542
2023-09-30 12:38,pk,qa54,MEAD-44647
2023-10-01 06:45,pk,caqa31,MEAD-44679
2023-10-01 16:35,pk,cauat3,MEAD-44704
2023-10-03 09:38,pt,qa54,MEAD-44845
2023-10-03 15:25,mg,uat1,MEAD-44875
2023-10-03 17:47,ws,uat4,MEAD-44881
2023-10-03 19:39,mg,cabpv,MEAD-44884
2023-10-04 01:43,pb,qa11,MEAD-44918
2023-10-06 01:15,pt,cargs1,MEAD-45157
2023-10-06 17:02,pb,caqa10,MEAD-45179
2023-10-06 17:02,pt,caqa10,MEAD-45180
2023-10-06 17:03,we,caqa10,MEAD-45178
2023-10-06 17:03,ws,caqa10,MEAD-45181
2023-10-06 17:35,mg,qa31,MEAD-45191
2023-10-06 17:35,pb,qa31,MEAD-45194
2023-10-06 17:35,pk,qa31,MEAD-45198
2023-10-06 17:35,rj,qa31,MEAD-45193
2023-10-06 17:44,mg,qa11,MEAD-45199
2023-10-06 17:44,pk,qa11,MEAD-45204
2023-10-06 17:44,pt,qa11,MEAD-45201
2023-10-06 17:44,rj,qa11,MEAD-45200
2023-10-06 17:44,we,qa11,MEAD-45202
2023-10-06 17:45,ws,qa11,MEAD-45203
2023-10-06 18:29,mg,qa10,MEAD-45205
2023-10-06 18:29,pk,qa10,MEAD-45208
2023-10-06 18:29,pt,qa10,MEAD-45207
2023-10-06 18:29,rj,qa10,MEAD-45206
2023-10-06 18:29,we,qa10,MEAD-45210
2023-10-06 18:57,mg,qa54,MEAD-45214
2023-10-06 18:57,pb,qa54,MEAD-45216
2023-10-06 18:57,rj,qa54,MEAD-45213
2023-10-06 18:57,we,qa54,MEAD-45215
2023-10-06 18:57,ws,qa54,MEAD-45217
2023-10-06 19:08,pb,caqa31,MEAD-45221
2023-10-06 19:08,pt,caqa31,MEAD-45219
2023-10-06 19:14,mg,cargs1,MEAD-45228
2023-10-06 21:23,pb,caqa11,MEAD-45233
2023-10-06 21:23,pk,caqa11,MEAD-45232
2023-10-06 21:23,pt,caqa11,MEAD-45231
2023-10-06 21:23,we,caqa11,MEAD-45230
2023-10-06 21:23,ws,caqa11,MEAD-45234
2023-10-07 04:02,pb,cauat1,MEAD-45238
2023-10-07 05:55,pb,cauat6,MEAD-45242
2023-10-08 23:14,mg,cauat3,MEAD-45280
2023-10-08 23:14,pt,cauat3,MEAD-45281
